#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
,,,"than $1,001)",Capital Gains,"$50,000 ",
149.6,BROADCOM LTD.,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.7,STATE STREET CORP,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
149.8,DOLLAR GENERAL CORP,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.9,CABLE ONE INC-W/1,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.1,CAMPBELL SOUP CO,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
149.11,SOUTHWEST AIRLS CO,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.12,PHILLIPS 66,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
149.13,BARD C R INC,No,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.14,STARBUCKS CORP,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.15,NORDSTROM INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
149.16,MCCORMICK & CO INC COM NON VTG,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
149.17,SMUCKER J M CO,No,None (or less,Capital Gains,"$2,501 - $5,000",
,,,"than $1,001)",,,
149.18,BANK HAWAII CORP,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.19,D S T SYS INC DEL,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.2,SYSCO CORP,No,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.21,RAYTHEON CO,No,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.22,W P CAREY INC,N/A,None (or less,Dividends,"$2,501 - $5,000",
,,,"than $1,001)",Capital Gains,,
149.23,"ZIMMER BIOMET HOLDINGS, INC",N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
149.24,REPUBLIC SVCS INC COM,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.25,BRISTOL-MYERS SQUIBB CO,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.26,CARDINAL HEALTH INC,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.27,C D K GLOBAL INC.,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
149.28,Waste Management Inc,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.29,RENAISSANCE RE HLDGS LTD ADR,No,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.3,TOTAL SYS SVCS INC,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.31,"MFA FINANCIAL, INC.",N/A,None (or less,Dividends,"$201 - $1,000",
,,,"than $1,001)",Capital Gains,,
149.32,PINNACLE FOODS INC,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.33,GRAINGER W W INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
149.34,FIDELITY NATL INFORMATION SVCS INC,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.35,ALLIANT ENERGY CORP,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.36,DR PEPPER SNAPPLE GROUP,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.37,ABBOTT LABORATORIES,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.38,CABOT CORP,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.39,AMERICAN FINL GROUP INC OHIO,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
149.4,CINEMARK HOLDINGS INC,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.41,AXIS CAPITAL HOLDINGS LTD,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.42,HERSHEY CO,No,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
149.43,ARAMARK,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
149.44,COLGATE-PALMOLIVE CO,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
149.45,ASPEN INSURANCE HOLDINGS LTD,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.46,HENRY (JACK) & ASSOCIATES INC,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.47,BOEING CO,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
,,,"than $1,001)",,,
149.48,KELLOGG CO,No,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
149.49,ACCENTURE PLC-CL A,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.5,ALLIED WORLD ASSURANCE CO,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.51,AMDOCS LTD,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.52,COSTCO WHSL CORP NEW,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.53,UNITEDHEALTH GROUP INC,No,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.54,ALLSTATE CORP,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
149.55,ATMOS ENERGY CORP,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.56,GILEAD SCIENCES INC,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.57,AMGEN INC,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.58,CORPORATE OFFICE PROPERTIES REIT,No,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
149.59,TUPPERWARE BRANDS CORP,N/A,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
149.6,STRYKER CORP,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.61,PINNACLE WEST CAP CORP,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.62,P G & E CORP,No,None (or less,Capital Gains,"$2,501 - $5,000",
,,,"than $1,001)",,,
149.63,INTUIT,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.64,ORACLE CORP,No,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
149.65,AMERICAN WATER WORKS CO INC,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.66,KROGER CO,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.67,INGREDION INC,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.68,AMERISOURCEBERGEN CORP,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.69,EQUITY LIFESTYLE PPTYS INC,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.7,KIMBERLY CLARK CORP,No,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.71,NORTHROP GRUMMAN CORP,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.72,HORMEL FOODS CORP,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.73,ALEXION PHARMACEUTICALS INC,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.74,BROADRIDGE FINANCIAL SOLUTIONSINC,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.75,EBAY INC,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.76,EVEREST RE GROUP LTD,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.77,ALLEGHANY CORP DEL,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.78,BECTON DICKINSON & CO,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.79,MOTOROLA SOLUTIONS INC.,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
149.8,PAYPAL HOLDINGS INC,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.81,AMEREN CORPORATION,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
149.82,FIRSTENERGY CORP,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
149.83,YUM! BRANDS INC,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
149.84,GENERAL DYNAMICS CORP,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.85,ABBVIE INC.,No,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.86,ALEXANDRIA REAL ESTATE EQUITIES INC,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.87,THE TRAVELERS COMPANIES INC,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.88,MARSH & MCLENNAN COS INC,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.89,MADISON SQUARE GARDEN CO,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
149.9,BIOGEN INC,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.91,POST PROPERTIES INC (Name change to,N/A,None (or less,Dividends,"$50,001 -",
,"Mid-America Apartment Communities, Inc.)",,"than $1,001)",Capital Gains,"$100,000 ",
149.92,THE PRICELINE GROUP INC,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.93,DOLLAR TREE INC,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.94,CELGENE CORP,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.95,BERKSHIRE HATHAWAY INC DEL CL B,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.96,DOMINOS PIZZA INC,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.97,ANSYS INC,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
149.98,BIO RAD LABS INC CL A,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.99,MARKEL CORP,No,None (or less,Capital Gains,"$100,001 -",
,,,"than $1,001)",,"$1,000,000 ",
149.1,HANOVER INSURANCE GROUP INC,No,None (or less,Capital Gains,"$100,001 -",
0,,,"than $1,001)",,"$1,000,000 ",
149.1,COPART INC,No,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
149.1,MASTERCARD INCORPORATED,No,None (or less,Dividends,"$100,001 -",
2,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.1,BAXTER INTERNATIONAL INC,N/A,None (or less,Dividends,"$15,001 -",
3,,,"than $1,001)",Capital Gains,"$50,000 ",
149.1,SCHEIN HENRY INC,No,None (or less,Dividends,"$100,001 -",
4,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.1,PROASSURANCE CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
5,,,"than $1,001)",Capital Gains,,
149.1,AUTOZONE INC,No,None (or less,Capital Gains,"$100,001 -",
6,,,"than $1,001)",,"$1,000,000 ",
149.1,MARATHON PETROLEUM CORP,No,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
149.1,YUM CHINA HOLDINGS INC,No,None (or less,Dividends,"$15,001 -",
8,,,"than $1,001)",Capital Gains,"$50,000 ",
149.1,AUTOMATIC DATA PROCESSING INC,No,"$100,001 -",Capital Gains,"$1,001 - $2,500",
9,,,"$250,000 ",,,
149.11,ARCH CAP GROUP LTD,No,None (or less,Capital Gains,"$100,001 -",
0,,,"than $1,001)",,"$1,000,000 ",
149.11,SYNOPSYS INC,No,None (or less,Capital Gains,"$100,001 -",
1,,,"than $1,001)",,"$1,000,000 ",
149.11,FISERV INC,N/A,None (or less,Dividends,"$100,001 -",
2,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.11,O'REILLY AUTOMOTIVE INC,No,None (or less,Capital Gains,"$100,001 -",
3,,,"than $1,001)",,"$1,000,000 ",
149.11,AMAZON.COM INC,No,None (or less,Capital Gains,"$100,001 -",
4,,,"than $1,001)",,"$1,000,000 ",
149.11,ALPHABET INC-CL C,No,None (or less,Capital Gains,"$100,001 -",
5,,,"than $1,001)",,"$1,000,000 ",
149.11,ALPHABET INC/CA-CL A,No,None (or less,Dividends,"$100,001 -",
6,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.11,UNION PAC CORP,N/A,None (or less,Dividends,"$15,001 -",
7,,,"than $1,001)",Capital Gains,"$50,000 ",
149.11,K L A - TENCOR CORP,No,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
149.11,V F CORP,N/A,None (or less,Dividends,"$15,001 -",
9,,,"than $1,001)",Capital Gains,"$50,000 ",
149.12,GALLAGHER ARTHUR J & CO,N/A,None (or less,Dividends,"$50,001 -",
0,,,"than $1,001)",Capital Gains,"$100,000 ",
149.12,P P G INDUSTRIES INC,No,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
149.12,DUKE ENERGY CORP,No,None (or less,Dividends,"$5,001 - $15,000",
2,,,"than $1,001)",Capital Gains,,
149.12,TAHOE RESOURCES INC,N/A,None (or less,,None (or less,
3,,,"than $1,001)",,than $201),
149.12,GLOBAL PMTS INC,No,None (or less,Capital Gains,"$50,001 -",
4,,,"than $1,001)",,"$100,000 ",
149.12,FORTIVE CORP.,No,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
149.12,LANDSTAR SYS INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
6,,,"than $1,001)",Capital Gains,,
149.12,DOMINION RES INC VA NEW,No,None (or less,Capital Gains,"$1,001 - $2,500",
7,,,"than $1,001)",,,
149.12,AMERICAN TOWER CORP,No,None (or less,Dividends,"$15,001 -",
8,,,"than $1,001)",Capital Gains,"$50,000 ",
149.12,U G I CORP NEW,No,None (or less,Dividends,"$100,001 -",
9,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.13,BED BATH & BEYOND INC,No,None (or less,Capital Gains,"$2,501 - $5,000",
0,,,"than $1,001)",,,
149.13,ANALOG DEVICES INC,No,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
149.13,NEWMONT MINING CORP,No,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
149.13,VALIDUS HOLDINGS LTD,No,None (or less,Dividends,"$50,001 -",
3,,,"than $1,001)",Capital Gains,"$100,000 ",
149.13,L BRANDS INC,No,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
149.13,MCKESSON CORPORATION,N/A,None (or less,Dividends,"$100,001 -",
5,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.13,DISCOVER FINANCIAL SERVICES,No,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
149.13,F5 NETWORKS INC,N/A,None (or less,Dividends,"$201 - $1,000",
7,,,"than $1,001)",Capital Gains,,
149.13,TFS FINANCIAL CORP,No,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
149.13,MANPOWERGROUP INC,No,None (or less,Capital Gains,"$1,001 - $2,500",
9,,,"than $1,001)",,,
149.14,SIMON PROPERTY GROUP INC REIT,No,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
149.14,PIEDMONT OFFICE REALTY TRU-A,No,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
149.14,WHITE MTNS INS GROUP LTD,No,None (or less,Capital Gains,"$50,001 -",
2,,,"than $1,001)",,"$100,000 ",
149.14,AMERIPRISE FINANCIAL INC,No,"$15,001 -",Capital Gains,"$15,001 -",
3,,,"$50,000 ",,"$50,000 ",
149.14,LABORATORY CORP AMER HLDGS,No,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
149.14,T J X COMPANIES INC,No,None (or less,Dividends,"$100,001 -",
5,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.14,HONEYWELL INTL INC,No,None (or less,Dividends,"$15,001 -",
6,,,"than $1,001)",Capital Gains,"$50,000 ",
149.14,HILL-ROM HOLDINGS INC,No,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
149.14,AON PLC,No,None (or less,Capital Gains,"$100,001 -",
8,,,"than $1,001)",,"$1,000,000 ",
149.14,TELEFLEX INC,No,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
149.15,HUNTINGTON INGALLS INGALLS INDUSTRIE,No,None (or less,Dividends,"$100,001 -",
0,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.15,VISA INC-CLASS A SHRS,No,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
149.15,LAMB WESTON HOLDINGS INC,N/A,None (or less,Dividends,"$2,501 - $5,000",
2,,,"than $1,001)",Capital Gains,,
149.15,BRINKER INTL INC,No,None (or less,Dividends,"$15,001 -",
3,,,"than $1,001)",Capital Gains,"$50,000 ",
149.15,DANAHER CORP,No,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
149.15,CHIPOTLE MEXICAN GRILL INC -CL A,No,None (or less,Dividends,"$15,001 -",
5,,,"than $1,001)",Capital Gains,"$50,000 ",
149.15,AMERICAN EXPRESS CO,N/A,None (or less,Dividends,"$15,001 -",
6,,,"than $1,001)",Capital Gains,"$50,000 ",
149.15,WATERS CORP,No,None (or less,Dividends,"$15,001 -",
7,,,"than $1,001)",Capital Gains,"$50,000 ",
149.15,APPLIED MATERIALS INC,No,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
149.15,PROGRESSIVE CORP OHIO,N/A,None (or less,Dividends,"$5,001 - $15,000",
9,,,"than $1,001)",Capital Gains,,
149.16,LIBERTY INTERACTIVE CORP QVC GROUP A,No,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
149.16,ESTEE LAUDER COMPANIES CLASS A,No,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
149.16,ALLIANCE DATA SYS CORP,N/A,None (or less,Dividends,"$15,001 -",
2,,,"than $1,001)",Capital Gains,"$50,000 ",
149.16,ERIE INDEMNITY COMPANY CL A,No,None (or less,Capital Gains,"$2,501 - $5,000",
3,,,"than $1,001)",,,
149.16,BROWN FORMAN CORP CL B,No,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
149.16,VECTREN CORP,No,None (or less,Capital Gains,"$100,001 -",
5,,,"than $1,001)",,"$1,000,000 ",
149.16,CONAGRA BRANDS INC,No,None (or less,Dividends,"$5,001 - $15,000",
6,,,"than $1,001)",Capital Gains,,
149.16,M & T BK CORP,No,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
149.16,LINEAR TECHNOLOGY CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
8,,,"than $1,001)",Capital Gains,,
149.16,MID-AMERICA APARTMENT COMMUNITYS,No,None (or less,Capital Gains,"$50,001 -",
9,INC,,"than $1,001)",,"$100,000 ",
149.17,PACWEST BANCORP,No,None (or less,Capital Gains,"$50,001 -",
0,,,"than $1,001)",,"$100,000 ",
149.17,AVALONBAY CMNTYS INC,No,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
149.17,CA INC,No,None (or less,Capital Gains,"$50,001 -",
2,,,"than $1,001)",,"$100,000 ",
149.17,C M S ENERGY CORP,No,None (or less,Dividends,"$100,001 -",
3,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.17,EDISON INTERNATIONAL,No,None (or less,Dividends,"$100,001 -",
4,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.17,APPLE INC,No,None (or less,Capital Gains,"$100,001 -",
5,,,"than $1,001)",,"$1,000,000 ",
149.17,UNITED PARCEL SERVICE CL B,No,None (or less,Dividends,"$100,001 -",
6,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.17,GENERAL MILLS INC,No,None (or less,Dividends,"$100,001 -",
7,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.17,PFIZER INC,No,None (or less,Capital Gains,"$100,001 -",
8,,,"than $1,001)",,"$1,000,000 ",
149.17,SPIRIT REALTY CAPITAL INC,N/A,None (or less,,None (or less,
9,,,"than $1,001)",,than $201),
149.18,D T E ENERGY COMPANY,No,None (or less,Capital Gains,"$100,001 -",
0,,,"than $1,001)",,"$1,000,000 ",
149.18,HOME DEPOT INC,No,None (or less,Dividends,"$100,001 -",
1,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.18,PUBLIC SVC ENTERPRISE GROUP INC,No,None (or less,Capital Gains,"$50,001 -",
2,,,"than $1,001)",,"$100,000 ",
149.18,CONSOLIDATED EDISON INC,No,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
149.18,DIGITAL REALTY TRUST INC,No,None (or less,Capital Gains,"$100,001 -",
4,,,"than $1,001)",,"$1,000,000 ",
149.18,AMERICAN ELECTRIC POWER INC,No,None (or less,Dividends,"$100,001 -",
5,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.18,MERCK & CO INC,No,None (or less,Dividends,"$100,001 -",
6,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.18,LILLY ELI & CO,N/A,None (or less,Dividends,"$100,001 -",
7,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.18,LOCKHEED MARTIN CORP,N/A,None (or less,Dividends,"$100,001 -",
8,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.18,HOSPITALITY PROPERTIES TR,N/A,None (or less,Dividends,"$15,001 -",
9,,,"than $1,001)",Capital Gains,"$50,000 ",
149.19,PEPSICO INC,No,None (or less,Dividends,"$100,001 -",
0,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.19,INTEL CORP,No,None (or less,Capital Gains,"$100,001 -",
1,,,"than $1,001)",,"$1,000,000 ",
149.19,MC DONALD'S CORPORATION,No,None (or less,Dividends,"$100,001 -",
2,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.19,VERIZON COMMUNICATIONS INC,No,None (or less,Dividends,"$50,001 -",
3,,,"than $1,001)",Capital Gains,"$100,000 ",
149.19,REYNOLDS AMERICAN INC,No,None (or less,Dividends,"$100,001 -",
4,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.19,MICROSOFT CORPORATION,No,None (or less,Capital Gains,"$100,001 -",
5,,,"than $1,001)",,"$1,000,000 ",
149.19,JOHNSON & JOHNSON,No,None (or less,Capital Gains,"$100,001 -",
6,,,"than $1,001)",,"$1,000,000 ",
149.19,INTERNATIONAL BUSINESS MACHINES CORP,No,None (or less,Dividends,"$100,001 -",
7,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.19,PHILIP MORRIS INTERNAT,No,None (or less,Dividends,"$100,001 -",
8,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.19,CHIMERA INVESTMENT CORPORATION,No,None (or less,Capital Gains,"$50,001 -",
9,,,"than $1,001)",,"$100,000 ",
149.2,ALTRIA GROUP INC,No,None (or less,Dividends,"$100,001 -",
0,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.2,AT&T INC,No,None (or less,Dividends,"$100,001 -",
1,,,"than $1,001)",Capital Gains,"$1,000,000 ",
149.2,ANNALY CAPITAL MANAGEMENT INC,No,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
149.2,"Cedar shopping centers, inc",No,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
